brand;model;car_model;price_chf;mileage;engine_power_hp;power_mode;production_date;consumption_l_per_100km;transmission;listing_url
POLESTAR;Polestar 4;POLESTAR Polestar 4 Long Range Single 100kWh ** GRATIS SERVICE -PILOT PAKET -21 ZOLL -PANORAMA -ASSIS.PAKET -GARANTIE BIS 04.2032;48890.0;15900.0;272.0;Elektro;72.024;;Automat;https://www.autoscout24.ch/de/d/polestar-polestar-4-long-range-single-100kwh-gratis-service-pilot-paket-21-zoll-panorama-assispaket-garantie-bis-042032-12849822
Mercedes-Benz;G 63;MERCEDES-BENZ G 63 AMG Speedshift Plus G-Tronic;127500.0;124200.0;585.0;Benzin;102.018;;Halbautomatik;https://www.autoscout24.ch/de/d/mercedes-benz-g-63-amg-speedshift-plus-g-tronic-12855175
Toyota;Supra;TOYOTA Supra GR 3.0i Turbo Premium Automat 8;67900.0;22000.0;340.0;Benzin;22.024;8.1;Automat;https://www.autoscout24.ch/de/d/toyota-supra-gr-30i-turbo-premium-automat-8-12863651
Mercedes-Benz;A 200;MERCEDES-BENZ A 200 AMG Line 7G-DCT;14900.0;110000.0;156.0;Benzin;32.013;5.7;Halbautomatik;https://www.autoscout24.ch/de/d/mercedes-benz-a-200-amg-line-7g-dct-12864037
Audi;SQ8;AUDI SQ8 TFSI quattro tiptronic *508PS* AHK NP.168'130.- Plus 23 Zoll Hirsch Räder WICHTIG: WIR MACHEN KEINE LEASING KREDITE usw;84850.0;25554.0;508.0;Benzin;82.023;;Automat;https://www.autoscout24.ch/de/d/audi-sq8-tfsi-quattro-tiptronic-508ps-ahk-np168-130-plus-23-zoll-hirsch-rader-wichtig-wir-machen-keine-leasing-kredite-usw-12862012
Seat;Ibiza;SEAT Ibiza SC 1.4 TSI FR DSG;6500.0;146000.0;150.0;Benzin;82.012;5.9;Automat;https://www.autoscout24.ch/de/d/seat-ibiza-sc-14-tsi-fr-dsg-12852041
Toyota;"""FJ";"TOYOTA ""FJ CRUISER"" ""TRAIL EDITION"" 270 PS BENZINER AUTOMAT + DACH TRÄGER + SAUBER UND GEPFLEGT.";42900.0;50400.0;270.0;Benzin;72.013;;Automat;https://www.autoscout24.ch/de/d/toyota-fj-cruiser-trail-edition-270-ps-benziner-automat-dach-trager-sauber-und-gepflegt-12856347
BYD;TANG;BYD TANG Flagship 7Pl. 4x4;53800.0;10.0;517.0;Elektro;Neues Fahrzeug;;Stufenlos;https://www.autoscout24.ch/de/d/byd-tang-flagship-7pl-4x4-12854517
Skoda;Karoq 2.0;SKODA Karoq 2.0 TSI 4X4 DSG 190PS ***SPORTLINE***;34900.0;21900.0;190.0;Benzin;12.023;8.5;Automat;https://www.autoscout24.ch/de/d/skoda-karoq-20-tsi-4x4-dsg-190ps-sportline-12851618
BYD;Seal;BYD Seal U DM-i Boost;32490.0;10.0;217.0;Benzin;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/byd-seal-u-dm-i-boost-12860620
Jeep;Renegade 1.3;JEEP Renegade 1.3 PHEV Limited AWD Panorama;19900.0;67000.0;190.0;Benzin;112.020;2.1;Automat;https://www.autoscout24.ch/de/d/jeep-renegade-13-phev-limited-awd-panorama-12843071
VW;Caddy 2.0;VW Caddy 2.0 TDI 4Motion;12990.0;168500.0;110.0;Diesel;102.013;6.5;Manuell;https://www.autoscout24.ch/de/d/vw-caddy-20-tdi-4motion-12845768
Audi;RS6;AUDI RS6 Avant 4.0 TFSI V8 quattro;106990.0;25990.0;600.0;Benzin;92.021;13.4;Automat;https://www.autoscout24.ch/de/d/audi-rs6-avant-40-tfsi-v8-quattro-12850977
POLESTAR;4;POLESTAR 4 Long Range Dual Motor Perfor;82250.0;30.0;543.0;Elektro;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/polestar-4-long-range-dual-motor-perfor-12844691
BMW;XM;BMW XM xDrive 50e PHEV Steptronic;114900.0;8500.0;476.0;Benzin;122.024;;Automat;https://www.autoscout24.ch/de/d/bmw-xm-xdrive-50e-phev-steptronic-12844552
Audi;Q5 40;AUDI Q5 40 TDI S-line quattro S-tronic;37800.0;79500.0;204.0;Diesel;62.021;7.2;Halbautomatik;https://www.autoscout24.ch/de/d/audi-q5-40-tdi-s-line-quattro-s-tronic-12844158
Skoda;Elroq 85;SKODA Elroq 85 Sport Line;38890.0;5.0;286.0;Elektro;Neues Fahrzeug;;Halbautomatik;https://www.autoscout24.ch/de/d/skoda-elroq-85-sport-line-12839816
BMW;X4;BMW X4 xDrive 48V 20d M Sport Steptronic;51900.0;20000.0;190.0;Diesel;12.023;5.8;Automat;https://www.autoscout24.ch/de/d/bmw-x4-xdrive-48v-20d-m-sport-steptronic-12858747
Citroen;C3;CITROEN C3 Aircross 1.2i PureTech Shine;10550.0;86250.0;110.0;Benzin;122.018;5.7;Manuell;https://www.autoscout24.ch/de/d/citroen-c3-aircross-12i-puretech-shine-12848496
Fiat;Grande;FIAT Grande Panda Elektro Red;19800.0;20.0;113.0;Elektro;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/fiat-grande-panda-elektro-red-12839730
VW;Polo 1.0;VW Polo 1.0 TSI BMT Comfortline;9880.0;134500.0;110.0;Benzin;32.016;4.3;Manuell;https://www.autoscout24.ch/de/d/vw-polo-10-tsi-bmt-comfortline-12837703
BYD;Dolphin;BYD Dolphin Surf 43 kWh Comfort 310 km Reichweite;24900.0;1.0;156.0;Elektro;Neues Fahrzeug;;Automat;https://www.autoscout24.ch/de/d/byd-dolphin-surf-43-kwh-comfort-310-km-reichweite-12842786
